
0it [00:00, ?it/s]
1it [00:29, 29.06s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-7.25+/-0.18 dlogz:inf>0.1]
5it [00:29,  4.35s/it, bound:0 nc:  3 ncall:4.2e+02 eff:1.2% logz=-4.50+/-0.15 dlogz:55.084>0.1]
11it [00:29,  1.55s/it, bound:0 nc:  1 ncall:4.3e+02 eff:2.6% logz=-2.52+/-0.14 dlogz:52.856>0.1]
16it [00:29,  1.12it/s, bound:0 nc:  1 ncall:4.5e+02 eff:3.6% logz=-1.31+/-0.14 dlogz:51.640>0.1]
23it [00:29,  2.07it/s, bound:0 nc:  4 ncall:4.6e+02 eff:5.0% logz=-0.14+/-0.13 dlogz:50.334>0.1]
28it [00:29,  2.94it/s, bound:0 nc: 10 ncall:4.9e+02 eff:5.7% logz=0.39+/-0.13 dlogz:49.757>0.1] 
33it [00:29,  4.11it/s, bound:0 nc:  1 ncall:5.1e+02 eff:6.5% logz=0.83+/-0.12 dlogz:49.291>0.1]
39it [00:30,  5.99it/s, bound:0 nc:  7 ncall:5.3e+02 eff:7.4% logz=1.38+/-0.12 dlogz:48.748>0.1]
43it [00:30,  7.39it/s, bound:0 nc: 10 ncall:5.5e+02 eff:7.9% logz=1.80+/-0.12 dlogz:48.318>0.1]
47it [00:30,  9.39it/s, bound:0 nc:  3 ncall:5.6e+02 eff:8.4% logz=2.18+/-0.12 dlogz:47.915>0.1]
53it [00:30, 13.15it/s, bound:0 nc:  3 ncall:5.7e+02 eff:9.2% logz=2.66+/-0.12 dlogz:47.394>0.1]
58it [00:30, 16.48it/s, bound:0 nc:  7 ncall:5.9e+02 eff:9.9% logz=3.06+/-0.12 dlogz:46.999>0.1]
64it [00:30, 21.33it/s, bound:0 nc:  1 ncall:6.0e+02 eff:10.6% logz=3.52+/-0.12 dlogz:46.509>0.1]
71it [00:30, 27.81it/s, bound:0 nc:  4 ncall:6.2e+02 eff:11.5% logz=3.99+/-0.11 dlogz:46.016>0.1]
76it [00:30, 30.82it/s, bound:0 nc:  4 ncall:6.3e+02 eff:12.0% logz=4.35+/-0.11 dlogz:45.658>0.1]
83it [00:31, 37.69it/s, bound:0 nc:  1 ncall:6.5e+02 eff:12.8% logz=5.22+/-0.12 dlogz:44.845>0.1]
91it [00:31, 44.89it/s, bound:0 nc:  4 ncall:6.6e+02 eff:13.8% logz=6.15+/-0.12 dlogz:43.851>0.1]
98it [00:31, 42.93it/s, bound:0 nc: 13 ncall:6.9e+02 eff:14.3% logz=6.89+/-0.12 dlogz:43.088>0.1]
105it [00:31, 46.51it/s, bound:0 nc:  3 ncall:7.0e+02 eff:15.0% logz=7.70+/-0.12 dlogz:42.307>0.1]
111it [00:31, 43.81it/s, bound:0 nc:  5 ncall:7.2e+02 eff:15.4% logz=8.47+/-0.13 dlogz:41.487>0.1]
119it [00:31, 49.56it/s, bound:0 nc:  6 ncall:7.4e+02 eff:16.1% logz=9.31+/-0.12 dlogz:40.603>0.1]
125it [00:31, 46.20it/s, bound:0 nc:  2 ncall:7.6e+02 eff:16.5% logz=9.86+/-0.12 dlogz:40.041>0.1]
130it [00:31, 45.01it/s, bound:0 nc:  1 ncall:7.7e+02 eff:16.8% logz=10.25+/-0.12 dlogz:39.618>0.1]
137it [00:32, 48.73it/s, bound:0 nc:  2 ncall:7.9e+02 eff:17.4% logz=10.97+/-0.12 dlogz:38.941>0.1]
143it [00:32, 45.58it/s, bound:0 nc:  2 ncall:8.1e+02 eff:17.7% logz=11.66+/-0.12 dlogz:38.216>0.1]
148it [00:32, 44.40it/s, bound:0 nc:  4 ncall:8.2e+02 eff:18.0% logz=12.20+/-0.12 dlogz:37.647>0.1]
153it [00:32, 29.05it/s, bound:0 nc:  5 ncall:8.7e+02 eff:17.7% logz=12.71+/-0.12 dlogz:37.120>0.1]
158it [00:32, 29.98it/s, bound:0 nc:  8 ncall:8.9e+02 eff:17.8% logz=13.17+/-0.12 dlogz:36.649>0.1]
162it [00:32, 30.87it/s, bound:0 nc:  2 ncall:9.0e+02 eff:18.0% logz=13.54+/-0.12 dlogz:36.269>0.1]
168it [00:33, 35.35it/s, bound:0 nc:  3 ncall:9.2e+02 eff:18.3% logz=14.10+/-0.12 dlogz:35.759>0.1]
172it [00:33, 31.48it/s, bound:0 nc:  8 ncall:9.4e+02 eff:18.3% logz=14.44+/-0.12 dlogz:35.411>0.1]
176it [00:33, 30.37it/s, bound:0 nc:  2 ncall:9.6e+02 eff:18.4% logz=14.78+/-0.12 dlogz:35.056>0.1]
180it [00:33, 26.01it/s, bound:0 nc: 13 ncall:9.9e+02 eff:18.3% logz=15.09+/-0.12 dlogz:34.731>0.1]
184it [00:33, 28.72it/s, bound:0 nc:  2 ncall:1.0e+03 eff:18.4% logz=15.38+/-0.12 dlogz:34.426>0.1]
190it [00:33, 35.46it/s, bound:0 nc:  4 ncall:1.0e+03 eff:18.7% logz=15.90+/-0.12 dlogz:33.910>0.1]
194it [00:33, 33.27it/s, bound:0 nc:  9 ncall:1.0e+03 eff:18.7% logz=16.30+/-0.12 dlogz:33.503>0.1]
198it [00:34, 33.47it/s, bound:0 nc:  3 ncall:1.1e+03 eff:18.8% logz=16.64+/-0.12 dlogz:33.138>0.1]
202it [00:34, 30.57it/s, bound:0 nc:  2 ncall:1.1e+03 eff:18.8% logz=16.94+/-0.12 dlogz:32.830>0.1]
206it [00:34, 27.22it/s, bound:0 nc:  7 ncall:1.1e+03 eff:18.7% logz=17.27+/-0.12 dlogz:32.488>0.1]
209it [00:34, 27.12it/s, bound:0 nc:  3 ncall:1.1e+03 eff:18.8% logz=17.53+/-0.12 dlogz:32.236>0.1]
213it [00:34, 29.07it/s, bound:0 nc:  5 ncall:1.1e+03 eff:18.8% logz=17.89+/-0.12 dlogz:31.851>0.1]
217it [00:34, 26.28it/s, bound:0 nc:  9 ncall:1.2e+03 eff:18.8% logz=18.21+/-0.12 dlogz:31.517>0.1]
222it [00:34, 30.95it/s, bound:0 nc:  8 ncall:1.2e+03 eff:19.0% logz=18.60+/-0.12 dlogz:31.132>0.1]
226it [00:35, 22.78it/s, bound:0 nc: 26 ncall:1.2e+03 eff:18.7% logz=18.94+/-0.12 dlogz:30.773>0.1]
229it [00:35, 21.91it/s, bound:0 nc:  3 ncall:1.2e+03 eff:18.7% logz=19.17+/-0.12 dlogz:30.529>0.1]
233it [00:35, 24.36it/s, bound:0 nc:  4 ncall:1.2e+03 eff:18.8% logz=19.50+/-0.12 dlogz:30.192>0.1]
241it [00:35, 34.83it/s, bound:0 nc:  1 ncall:1.3e+03 eff:19.2% logz=20.13+/-0.12 dlogz:29.538>0.1]
245it [00:35, 34.69it/s, bound:0 nc:  2 ncall:1.3e+03 eff:19.2% logz=20.43+/-0.12 dlogz:29.229>0.1]
249it [00:35, 31.75it/s, bound:0 nc:  1 ncall:1.3e+03 eff:19.2% logz=20.78+/-0.12 dlogz:28.892>0.1]
253it [00:36, 27.11it/s, bound:0 nc:  2 ncall:1.3e+03 eff:19.2% logz=21.13+/-0.12 dlogz:28.518>0.1]
257it [00:36, 27.53it/s, bound:0 nc:  4 ncall:1.3e+03 eff:19.3% logz=21.44+/-0.12 dlogz:28.185>0.1]
260it [00:36, 22.81it/s, bound:0 nc:  4 ncall:1.4e+03 eff:19.2% logz=21.66+/-0.12 dlogz:27.953>0.1]
