
0it [00:00, ?it/s]
1it [00:15, 15.17s/it, bound:0 nc: 10 ncall:4.1e+02 eff:0.2% logz=6.68+/-0.18 dlogz:inf>0.1]
5it [00:15,  2.30s/it, bound:0 nc: 19 ncall:4.4e+02 eff:1.1% logz=10.91+/-0.15 dlogz:45.923>0.1]
9it [00:15,  1.06s/it, bound:0 nc:  4 ncall:4.6e+02 eff:2.0% logz=13.09+/-0.15 dlogz:43.569>0.1]
14it [00:15,  1.84it/s, bound:0 nc:  3 ncall:4.7e+02 eff:3.0% logz=14.65+/-0.14 dlogz:41.874>0.1]
18it [00:15,  2.80it/s, bound:0 nc:  3 ncall:4.9e+02 eff:3.7% logz=15.47+/-0.14 dlogz:40.980>0.1]
23it [00:15,  4.45it/s, bound:0 nc:  1 ncall:5.0e+02 eff:4.6% logz=16.36+/-0.13 dlogz:40.036>0.1]
32it [00:15,  8.49it/s, bound:0 nc:  1 ncall:5.2e+02 eff:6.2% logz=17.78+/-0.13 dlogz:38.586>0.1]
39it [00:16, 12.38it/s, bound:0 nc:  1 ncall:5.3e+02 eff:7.3% logz=18.90+/-0.13 dlogz:37.501>0.1]
46it [00:16, 15.80it/s, bound:0 nc:  1 ncall:5.6e+02 eff:8.2% logz=20.10+/-0.13 dlogz:36.212>0.1]
52it [00:16, 20.07it/s, bound:0 nc:  6 ncall:5.8e+02 eff:9.0% logz=20.86+/-0.13 dlogz:35.407>0.1]
59it [00:16, 25.17it/s, bound:0 nc:  3 ncall:6.0e+02 eff:9.9% logz=21.59+/-0.12 dlogz:34.656>0.1]
67it [00:16, 32.74it/s, bound:0 nc:  5 ncall:6.1e+02 eff:10.9% logz=22.38+/-0.12 dlogz:33.830>0.1]
75it [00:16, 38.62it/s, bound:0 nc:  2 ncall:6.3e+02 eff:11.9% logz=22.95+/-0.12 dlogz:33.226>0.1]
82it [00:16, 44.32it/s, bound:0 nc:  1 ncall:6.5e+02 eff:12.7% logz=23.43+/-0.12 dlogz:32.723>0.1]
89it [00:16, 45.76it/s, bound:0 nc:  1 ncall:6.7e+02 eff:13.4% logz=23.95+/-0.11 dlogz:32.190>0.1]
95it [00:17, 45.26it/s, bound:0 nc: 12 ncall:6.9e+02 eff:13.8% logz=24.37+/-0.11 dlogz:31.766>0.1]
101it [00:17, 39.51it/s, bound:0 nc:  2 ncall:7.2e+02 eff:14.0% logz=24.89+/-0.12 dlogz:31.232>0.1]
106it [00:17, 39.27it/s, bound:0 nc:  5 ncall:7.4e+02 eff:14.3% logz=25.33+/-0.12 dlogz:30.788>0.1]
111it [00:17, 34.20it/s, bound:0 nc: 10 ncall:7.7e+02 eff:14.4% logz=25.75+/-0.12 dlogz:30.349>0.1]
115it [00:17, 33.50it/s, bound:0 nc:  3 ncall:7.9e+02 eff:14.6% logz=26.06+/-0.12 dlogz:30.022>0.1]
120it [00:17, 34.84it/s, bound:0 nc:  4 ncall:8.1e+02 eff:14.9% logz=26.38+/-0.12 dlogz:29.669>0.1]
126it [00:17, 37.65it/s, bound:0 nc:  2 ncall:8.3e+02 eff:15.2% logz=26.76+/-0.11 dlogz:29.284>0.1]
133it [00:18, 42.74it/s, bound:0 nc:  3 ncall:8.5e+02 eff:15.7% logz=27.16+/-0.11 dlogz:28.857>0.1]
138it [00:18, 38.55it/s, bound:0 nc:  5 ncall:8.8e+02 eff:15.8% logz=27.43+/-0.11 dlogz:28.574>0.1]
143it [00:18, 32.29it/s, bound:0 nc:  6 ncall:9.1e+02 eff:15.8% logz=27.75+/-0.11 dlogz:28.251>0.1]
149it [00:18, 36.15it/s, bound:0 nc:  3 ncall:9.3e+02 eff:16.1% logz=28.15+/-0.11 dlogz:27.837>0.1]
156it [00:18, 43.16it/s, bound:0 nc:  1 ncall:9.4e+02 eff:16.6% logz=28.59+/-0.11 dlogz:27.370>0.1]
161it [00:18, 38.34it/s, bound:0 nc: 12 ncall:9.7e+02 eff:16.6% logz=28.87+/-0.11 dlogz:27.072>0.1]
166it [00:19, 32.66it/s, bound:0 nc:  5 ncall:1.0e+03 eff:16.6% logz=29.13+/-0.11 dlogz:26.801>0.1]
170it [00:19, 32.24it/s, bound:0 nc:  3 ncall:1.0e+03 eff:16.7% logz=29.36+/-0.11 dlogz:26.567>0.1]
177it [00:19, 35.80it/s, bound:0 nc:  6 ncall:1.0e+03 eff:16.9% logz=29.86+/-0.11 dlogz:26.069>0.1]
181it [00:19, 34.85it/s, bound:0 nc:  7 ncall:1.1e+03 eff:16.9% logz=30.14+/-0.12 dlogz:25.767>0.1]
185it [00:19, 26.54it/s, bound:0 nc:  2 ncall:1.1e+03 eff:16.7% logz=30.39+/-0.12 dlogz:25.500>0.1]
