
0it [00:00, ?it/s]
1it [00:46, 46.51s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-530.34+/-0.18 dlogz:inf>0.1]
2it [00:46, 19.21s/it, bound:0 nc:  5 ncall:4.1e+02 eff:0.5% logz=-456.40+/-0.18 dlogz:590.604>0.1]
4it [00:46,  7.23s/it, bound:0 nc:  7 ncall:4.2e+02 eff:1.0% logz=-195.45+/-0.18 dlogz:394.038>0.1]
6it [00:46,  3.85s/it, bound:0 nc:  3 ncall:4.2e+02 eff:1.4% logz=-181.58+/-0.18 dlogz:246.860>0.1]
8it [00:47,  2.33s/it, bound:0 nc:  8 ncall:4.4e+02 eff:1.8% logz=-139.77+/-0.17 dlogz:201.636>0.1]
11it [00:47,  1.26s/it, bound:0 nc:  2 ncall:4.4e+02 eff:2.5% logz=-115.99+/-0.18 dlogz:186.209>0.1]
13it [00:47,  1.11it/s, bound:0 nc:  6 ncall:4.6e+02 eff:2.9% logz=-94.06+/-0.18 dlogz:162.215>0.1] 
16it [00:47,  1.78it/s, bound:0 nc:  5 ncall:4.6e+02 eff:3.4% logz=-85.31+/-0.17 dlogz:146.848>0.1]
18it [00:47,  2.32it/s, bound:0 nc:  4 ncall:4.8e+02 eff:3.8% logz=-80.22+/-0.18 dlogz:144.337>0.1]
21it [00:47,  3.37it/s, bound:0 nc:  8 ncall:4.9e+02 eff:4.3% logz=-72.74+/-0.17 dlogz:134.293>0.1]
25it [00:48,  4.66it/s, bound:0 nc: 15 ncall:5.1e+02 eff:4.9% logz=-66.48+/-0.18 dlogz:129.161>0.1]
27it [00:48,  4.76it/s, bound:0 nc: 18 ncall:5.3e+02 eff:5.1% logz=-62.59+/-0.18 dlogz:125.505>0.1]
29it [00:48,  5.60it/s, bound:0 nc:  5 ncall:5.4e+02 eff:5.4% logz=-59.54+/-0.16 dlogz:120.894>0.1]
31it [00:49,  6.40it/s, bound:0 nc:  7 ncall:5.5e+02 eff:5.7% logz=-56.21+/-0.17 dlogz:117.689>0.1]
33it [00:49,  5.93it/s, bound:0 nc: 10 ncall:5.7e+02 eff:5.8% logz=-50.28+/-0.18 dlogz:113.341>0.1]
34it [00:49,  4.93it/s, bound:0 nc: 17 ncall:5.8e+02 eff:5.8% logz=-49.02+/-0.17 dlogz:110.463>0.1]
37it [00:49,  7.09it/s, bound:0 nc:  7 ncall:6.0e+02 eff:6.2% logz=-44.64+/-0.16 dlogz:105.510>0.1]
