
0it [00:00, ?it/s]
1it [00:22, 22.23s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-862.99+/-0.18 dlogz:inf>0.1]
9it [00:22,  1.80s/it, bound:0 nc:  6 ncall:4.2e+02 eff:2.1% logz=-221.64+/-0.18 dlogz:287.956>0.1]
17it [00:22,  1.27it/s, bound:0 nc:  4 ncall:4.3e+02 eff:3.9% logz=-154.08+/-0.17 dlogz:206.438>0.1]
25it [00:22,  2.27it/s, bound:0 nc:  1 ncall:4.5e+02 eff:5.6% logz=-121.30+/-0.18 dlogz:174.416>0.1]
33it [00:22,  3.61it/s, bound:0 nc:  1 ncall:4.7e+02 eff:7.0% logz=-95.57+/-0.18 dlogz:149.529>0.1] 
41it [00:22,  5.47it/s, bound:0 nc:  2 ncall:4.9e+02 eff:8.4% logz=-81.96+/-0.16 dlogz:133.261>0.1]
48it [00:22,  7.54it/s, bound:0 nc:  3 ncall:5.1e+02 eff:9.5% logz=-73.53+/-0.17 dlogz:125.688>0.1]
60it [00:23, 12.35it/s, bound:0 nc:  7 ncall:5.3e+02 eff:11.4% logz=-61.06+/-0.17 dlogz:113.701>0.1]
69it [00:23, 16.49it/s, bound:0 nc:  7 ncall:5.5e+02 eff:12.6% logz=-55.04+/-0.15 dlogz:106.251>0.1]
76it [00:23, 20.46it/s, bound:0 nc:  2 ncall:5.6e+02 eff:13.5% logz=-50.50+/-0.16 dlogz:101.670>0.1]
83it [00:23, 25.16it/s, bound:0 nc:  4 ncall:5.8e+02 eff:14.3% logz=-44.45+/-0.16 dlogz:95.720>0.1] 
90it [00:23, 29.11it/s, bound:0 nc:  2 ncall:6.0e+02 eff:15.1% logz=-40.97+/-0.15 dlogz:91.787>0.1]
97it [00:23, 32.72it/s, bound:0 nc:  1 ncall:6.2e+02 eff:15.7% logz=-37.96+/-0.15 dlogz:88.834>0.1]
104it [00:23, 38.32it/s, bound:0 nc:  1 ncall:6.3e+02 eff:16.5% logz=-35.30+/-0.15 dlogz:86.139>0.1]
110it [00:24, 41.81it/s, bound:0 nc:  4 ncall:6.5e+02 eff:17.0% logz=-31.56+/-0.15 dlogz:82.599>0.1]
116it [00:24, 44.30it/s, bound:0 nc:  2 ncall:6.6e+02 eff:17.5% logz=-29.08+/-0.15 dlogz:79.838>0.1]
122it [00:24, 35.79it/s, bound:0 nc:  4 ncall:7.0e+02 eff:17.4% logz=-27.35+/-0.14 dlogz:78.034>0.1]
129it [00:24, 41.30it/s, bound:0 nc:  1 ncall:7.1e+02 eff:18.1% logz=-25.78+/-0.14 dlogz:76.506>0.1]
135it [00:24, 44.37it/s, bound:0 nc:  2 ncall:7.3e+02 eff:18.5% logz=-24.56+/-0.14 dlogz:75.150>0.1]
142it [00:24, 49.51it/s, bound:0 nc:  4 ncall:7.4e+02 eff:19.1% logz=-23.09+/-0.14 dlogz:73.665>0.1]
149it [00:24, 53.66it/s, bound:0 nc:  3 ncall:7.6e+02 eff:19.7% logz=-21.53+/-0.14 dlogz:72.067>0.1]
155it [00:24, 53.36it/s, bound:0 nc:  1 ncall:7.7e+02 eff:20.1% logz=-20.52+/-0.14 dlogz:71.069>0.1]
161it [00:25, 44.97it/s, bound:0 nc:  2 ncall:8.0e+02 eff:20.2% logz=-19.34+/-0.14 dlogz:69.845>0.1]
169it [00:25, 52.35it/s, bound:0 nc:  3 ncall:8.1e+02 eff:20.8% logz=-18.27+/-0.13 dlogz:68.748>0.1]
176it [00:25, 54.34it/s, bound:0 nc:  2 ncall:8.3e+02 eff:21.3% logz=-17.02+/-0.14 dlogz:67.513>0.1]
183it [00:25, 57.67it/s, bound:0 nc:  4 ncall:8.4e+02 eff:21.7% logz=-15.46+/-0.14 dlogz:65.958>0.1]
190it [00:25, 54.73it/s, bound:0 nc:  1 ncall:8.6e+02 eff:22.0% logz=-14.51+/-0.13 dlogz:64.904>0.1]
196it [00:25, 55.19it/s, bound:0 nc:  2 ncall:8.8e+02 eff:22.3% logz=-13.91+/-0.13 dlogz:64.272>0.1]
202it [00:25, 40.75it/s, bound:0 nc:  2 ncall:9.1e+02 eff:22.1% logz=-13.23+/-0.13 dlogz:63.579>0.1]
207it [00:26, 39.28it/s, bound:0 nc:  1 ncall:9.3e+02 eff:22.2% logz=-12.72+/-0.13 dlogz:63.071>0.1]
212it [00:26, 40.99it/s, bound:0 nc:  4 ncall:9.5e+02 eff:22.4% logz=-12.20+/-0.13 dlogz:62.521>0.1]
217it [00:26, 39.19it/s, bound:0 nc:  6 ncall:9.7e+02 eff:22.5% logz=-11.66+/-0.13 dlogz:62.023>0.1]
222it [00:26, 41.28it/s, bound:0 nc:  7 ncall:9.8e+02 eff:22.6% logz=-10.92+/-0.13 dlogz:61.255>0.1]
227it [00:26, 42.75it/s, bound:0 nc:  2 ncall:1.0e+03 eff:22.8% logz=-10.34+/-0.13 dlogz:60.631>0.1]
232it [00:26, 43.91it/s, bound:0 nc:  1 ncall:1.0e+03 eff:22.9% logz=-9.85+/-0.13 dlogz:60.111>0.1] 
237it [00:26, 37.12it/s, bound:0 nc: 11 ncall:1.0e+03 eff:22.9% logz=-9.41+/-0.13 dlogz:59.666>0.1]
241it [00:27, 29.84it/s, bound:0 nc: 12 ncall:1.1e+03 eff:22.6% logz=-9.03+/-0.13 dlogz:59.271>0.1]
246it [00:27, 33.81it/s, bound:0 nc:  2 ncall:1.1e+03 eff:22.8% logz=-8.58+/-0.13 dlogz:58.803>0.1]
252it [00:27, 38.93it/s, bound:0 nc:  6 ncall:1.1e+03 eff:22.9% logz=-8.14+/-0.13 dlogz:58.327>0.1]
258it [00:27, 43.51it/s, bound:0 nc:  6 ncall:1.1e+03 eff:23.1% logz=-7.66+/-0.13 dlogz:57.846>0.1]
263it [00:27, 36.33it/s, bound:0 nc:  3 ncall:1.1e+03 eff:23.2% logz=-7.33+/-0.12 dlogz:57.489>0.1]
268it [00:27, 38.45it/s, bound:0 nc:  1 ncall:1.2e+03 eff:23.2% logz=-6.99+/-0.12 dlogz:57.137>0.1]
273it [00:27, 39.85it/s, bound:0 nc:  6 ncall:1.2e+03 eff:23.4% logz=-6.64+/-0.12 dlogz:56.778>0.1]
278it [00:27, 41.60it/s, bound:0 nc:  1 ncall:1.2e+03 eff:23.5% logz=-6.34+/-0.12 dlogz:56.460>0.1]
283it [00:27, 42.79it/s, bound:0 nc:  2 ncall:1.2e+03 eff:23.6% logz=-6.08+/-0.12 dlogz:56.181>0.1]
289it [00:28, 46.43it/s, bound:0 nc:  3 ncall:1.2e+03 eff:23.9% logz=-5.75+/-0.12 dlogz:55.838>0.1]
294it [00:28, 42.52it/s, bound:0 nc:  3 ncall:1.2e+03 eff:23.8% logz=-5.49+/-0.12 dlogz:55.568>0.1]
299it [00:28, 43.19it/s, bound:0 nc:  1 ncall:1.2e+03 eff:24.0% logz=-5.19+/-0.12 dlogz:55.262>0.1]
304it [00:28, 40.38it/s, bound:0 nc:  5 ncall:1.3e+03 eff:24.0% logz=-4.92+/-0.12 dlogz:54.966>0.1]
309it [00:28, 38.81it/s, bound:0 nc:  5 ncall:1.3e+03 eff:24.0% logz=-4.68+/-0.12 dlogz:54.711>0.1]
313it [00:28, 38.42it/s, bound:0 nc: 13 ncall:1.3e+03 eff:24.0% logz=-4.50+/-0.12 dlogz:54.517>0.1]
317it [00:29, 27.69it/s, bound:0 nc:  9 ncall:1.3e+03 eff:23.7% logz=-4.32+/-0.12 dlogz:54.332>0.1]
321it [00:29, 29.96it/s, bound:0 nc:  1 ncall:1.4e+03 eff:23.7% logz=-4.14+/-0.12 dlogz:54.139>0.1]
327it [00:29, 35.35it/s, bound:0 nc:  2 ncall:1.4e+03 eff:23.9% logz=-3.84+/-0.12 dlogz:53.826>0.1]
332it [00:29, 38.21it/s, bound:0 nc:  9 ncall:1.4e+03 eff:24.0% logz=-3.60+/-0.12 dlogz:53.570>0.1]
338it [00:29, 43.02it/s, bound:0 nc:  3 ncall:1.4e+03 eff:24.2% logz=-3.33+/-0.12 dlogz:53.280>0.1]
343it [00:29, 33.61it/s, bound:0 nc:  7 ncall:1.4e+03 eff:24.1% logz=-3.12+/-0.12 dlogz:53.064>0.1]
348it [00:29, 36.79it/s, bound:0 nc:  4 ncall:1.4e+03 eff:24.1% logz=-2.91+/-0.12 dlogz:52.836>0.1]
353it [00:29, 38.82it/s, bound:0 nc:  4 ncall:1.5e+03 eff:24.2% logz=-2.68+/-0.12 dlogz:52.601>0.1]
358it [00:30, 32.10it/s, bound:0 nc:  6 ncall:1.5e+03 eff:24.1% logz=-2.45+/-0.12 dlogz:52.357>0.1]
364it [00:30, 37.46it/s, bound:0 nc:  3 ncall:1.5e+03 eff:24.3% logz=-2.18+/-0.12 dlogz:52.069>0.1]
369it [00:30, 39.52it/s, bound:0 nc:  3 ncall:1.5e+03 eff:24.3% logz=-1.95+/-0.12 dlogz:51.836>0.1]
374it [00:30, 32.76it/s, bound:0 nc:  5 ncall:1.5e+03 eff:24.2% logz=-1.69+/-0.12 dlogz:51.562>0.1]
378it [00:30, 31.33it/s, bound:0 nc:  1 ncall:1.6e+03 eff:24.1% logz=-1.46+/-0.12 dlogz:51.328>0.1]
382it [00:30, 32.58it/s, bound:0 nc:  5 ncall:1.6e+03 eff:24.1% logz=-1.25+/-0.12 dlogz:51.962>0.1]
387it [00:30, 36.08it/s, bound:0 nc:  5 ncall:1.6e+03 eff:24.2% logz=-1.00+/-0.12 dlogz:51.702>0.1]
391it [00:31, 36.41it/s, bound:0 nc: 10 ncall:1.6e+03 eff:24.3% logz=-0.82+/-0.12 dlogz:51.509>0.1]
395it [00:31, 36.45it/s, bound:0 nc:  6 ncall:1.6e+03 eff:24.2% logz=-0.64+/-0.12 dlogz:51.317>0.1]
399it [00:31, 28.43it/s, bound:0 nc:  9 ncall:1.7e+03 eff:24.1% logz=-0.45+/-0.12 dlogz:51.121>0.1]
406it [00:31, 31.88it/s, bound:0 nc: 11 ncall:1.7e+03 eff:24.2% logz=-0.10+/-0.12 dlogz:50.756>0.1]
412it [00:31, 32.45it/s, bound:0 nc: 16 ncall:1.7e+03 eff:24.1% logz=0.20+/-0.12 dlogz:50.437>0.1] 
416it [00:31, 28.89it/s, bound:0 nc:  7 ncall:1.7e+03 eff:24.0% logz=0.40+/-0.12 dlogz:50.229>0.1]
422it [00:32, 32.40it/s, bound:0 nc: 11 ncall:1.8e+03 eff:24.1% logz=0.67+/-0.12 dlogz:49.941>0.1]
426it [00:32, 32.97it/s, bound:0 nc:  5 ncall:1.8e+03 eff:24.1% logz=0.86+/-0.12 dlogz:49.746>0.1]
430it [00:32, 24.37it/s, bound:0 nc:  1 ncall:1.8e+03 eff:23.8% logz=1.07+/-0.12 dlogz:49.529>0.1]
435it [00:32, 26.59it/s, bound:0 nc: 12 ncall:1.8e+03 eff:23.8% logz=1.33+/-0.12 dlogz:49.252>0.1]
438it [00:32, 20.97it/s, bound:0 nc:  7 ncall:1.9e+03 eff:23.5% logz=1.49+/-0.12 dlogz:49.088>0.1]
444it [00:32, 27.50it/s, bound:0 nc:  8 ncall:1.9e+03 eff:23.7% logz=1.78+/-0.12 dlogz:48.779>0.1]
448it [00:33, 29.49it/s, bound:0 nc:  6 ncall:1.9e+03 eff:23.7% logz=1.97+/-0.12 dlogz:48.579>0.1]
