
0it [00:00, ?it/s]
1it [04:02, 242.13s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-571.43+/-0.18 dlogz:inf>0.1]
5it [04:03, 36.26s/it, bound:0 nc:  1 ncall:4.1e+02 eff:1.2% logz=-249.54+/-0.18 dlogz:396.351>0.1]
9it [04:04, 16.50s/it, bound:0 nc:  1 ncall:4.1e+02 eff:2.2% logz=-161.08+/-0.18 dlogz:250.086>0.1]
12it [04:04, 10.50s/it, bound:0 nc:  1 ncall:4.2e+02 eff:2.9% logz=-130.43+/-0.18 dlogz:211.419>0.1]
14it [04:05,  7.88s/it, bound:0 nc:  2 ncall:4.2e+02 eff:3.3% logz=-104.63+/-0.18 dlogz:179.064>0.1]
16it [04:06,  5.87s/it, bound:0 nc:  4 ncall:4.3e+02 eff:3.8% logz=-102.01+/-0.16 dlogz:171.567>0.1]
18it [04:07,  4.37s/it, bound:0 nc:  3 ncall:4.3e+02 eff:4.2% logz=-100.30+/-0.16 dlogz:169.455>0.1]
22it [04:08,  2.54s/it, bound:0 nc:  3 ncall:4.4e+02 eff:5.0% logz=-88.58+/-0.17 dlogz:158.434>0.1] 
25it [04:09,  1.81s/it, bound:0 nc:  1 ncall:4.4e+02 eff:5.7% logz=-66.72+/-0.18 dlogz:139.271>0.1]
29it [04:10,  1.22s/it, bound:0 nc:  1 ncall:4.5e+02 eff:6.5% logz=-49.50+/-0.16 dlogz:118.835>0.1]
32it [04:11,  1.03it/s, bound:0 nc:  1 ncall:4.5e+02 eff:7.1% logz=-44.95+/-0.18 dlogz:116.257>0.1]
35it [04:12,  1.28it/s, bound:0 nc:  1 ncall:4.6e+02 eff:7.7% logz=-38.14+/-0.17 dlogz:108.430>0.1]
39it [04:13,  1.79it/s, bound:0 nc:  2 ncall:4.6e+02 eff:8.4% logz=-33.91+/-0.17 dlogz:103.748>0.1]
41it [04:14,  1.87it/s, bound:0 nc:  4 ncall:4.7e+02 eff:8.8% logz=-32.43+/-0.16 dlogz:101.337>0.1]
45it [04:14,  2.48it/s, bound:0 nc:  2 ncall:4.7e+02 eff:9.5% logz=-26.68+/-0.17 dlogz:97.291>0.1] 
49it [04:15,  3.12it/s, bound:0 nc:  2 ncall:4.8e+02 eff:10.3% logz=-20.25+/-0.16 dlogz:89.130>0.1]
53it [04:16,  3.31it/s, bound:0 nc:  1 ncall:4.8e+02 eff:11.0% logz=-16.45+/-0.16 dlogz:85.910>0.1]
55it [04:17,  3.24it/s, bound:0 nc:  2 ncall:4.9e+02 eff:11.3% logz=-13.51+/-0.17 dlogz:83.603>0.1]
58it [04:18,  3.17it/s, bound:0 nc:  1 ncall:4.9e+02 eff:11.8% logz=-10.84+/-0.16 dlogz:79.834>0.1]
59it [04:19,  2.52it/s, bound:0 nc:  7 ncall:5.0e+02 eff:11.8% logz=-9.85+/-0.16 dlogz:79.135>0.1] 
61it [04:20,  2.31it/s, bound:0 nc:  2 ncall:5.0e+02 eff:12.2% logz=-7.54+/-0.17 dlogz:77.336>0.1]
64it [04:21,  2.51it/s, bound:0 nc:  1 ncall:5.1e+02 eff:12.6% logz=-5.32+/-0.16 dlogz:74.176>0.1]
67it [04:22,  2.61it/s, bound:0 nc:  1 ncall:5.1e+02 eff:13.1% logz=-4.49+/-0.15 dlogz:72.974>0.1]
68it [04:23,  2.20it/s, bound:0 nc:  6 ncall:5.2e+02 eff:13.2% logz=-4.31+/-0.14 dlogz:72.763>0.1]
72it [04:24,  2.97it/s, bound:0 nc:  1 ncall:5.2e+02 eff:13.8% logz=-3.83+/-0.14 dlogz:72.195>0.1]
75it [04:24,  3.06it/s, bound:0 nc:  2 ncall:5.3e+02 eff:14.3% logz=-3.58+/-0.13 dlogz:71.912>0.1]
79it [04:25,  3.47it/s, bound:0 nc:  2 ncall:5.3e+02 eff:14.8% logz=-3.32+/-0.13 dlogz:71.625>0.1]
83it [04:26,  4.11it/s, bound:0 nc:  1 ncall:5.4e+02 eff:15.5% logz=-3.11+/-0.12 dlogz:71.401>0.1]
85it [04:27,  3.78it/s, bound:0 nc:  4 ncall:5.4e+02 eff:15.7% logz=-3.03+/-0.12 dlogz:71.304>0.1]
89it [04:27,  4.17it/s, bound:0 nc:  3 ncall:5.5e+02 eff:16.2% logz=-2.87+/-0.12 dlogz:71.134>0.1]
91it [04:28,  3.58it/s, bound:0 nc:  3 ncall:5.5e+02 eff:16.5% logz=-2.81+/-0.12 dlogz:71.058>0.1]
92it [04:29,  2.89it/s, bound:0 nc:  4 ncall:5.6e+02 eff:16.5% logz=-2.77+/-0.12 dlogz:71.022>0.1]
93it [04:30,  2.57it/s, bound:0 nc:  6 ncall:5.6e+02 eff:16.5% logz=-2.74+/-0.12 dlogz:70.988>0.1]
96it [04:31,  2.98it/s, bound:0 nc:  1 ncall:5.7e+02 eff:17.0% logz=-2.65+/-0.11 dlogz:70.889>0.1]
99it [04:31,  3.13it/s, bound:0 nc:  1 ncall:5.7e+02 eff:17.3% logz=-2.57+/-0.11 dlogz:70.799>0.1]
104it [04:32,  3.64it/s, bound:0 nc:  1 ncall:5.8e+02 eff:18.1% logz=-2.45+/-0.11 dlogz:70.664>0.1]
108it [04:33,  4.06it/s, bound:0 nc:  2 ncall:5.8e+02 eff:18.6% logz=-2.37+/-0.11 dlogz:70.566>0.1]
110it [04:34,  3.64it/s, bound:0 nc:  3 ncall:5.9e+02 eff:18.8% logz=-2.33+/-0.11 dlogz:70.521>0.1]
115it [04:35,  4.16it/s, bound:0 nc:  1 ncall:5.9e+02 eff:19.5% logz=-2.24+/-0.11 dlogz:70.414>0.1]
118it [04:36,  3.94it/s, bound:0 nc:  3 ncall:6.0e+02 eff:19.8% logz=-2.19+/-0.10 dlogz:70.354>0.1]
121it [04:37,  3.65it/s, bound:0 nc:  2 ncall:6.0e+02 eff:20.1% logz=-2.14+/-0.10 dlogz:70.297>0.1]
124it [04:38,  3.50it/s, bound:0 nc:  3 ncall:6.1e+02 eff:20.4% logz=-2.09+/-0.10 dlogz:70.243>0.1]
127it [04:39,  3.52it/s, bound:0 nc:  1 ncall:6.1e+02 eff:20.8% logz=-2.05+/-0.10 dlogz:70.192>0.1]
131it [04:40,  3.69it/s, bound:0 nc:  1 ncall:6.2e+02 eff:21.3% logz=-1.99+/-0.10 dlogz:70.126>0.1]
135it [04:41,  3.87it/s, bound:0 nc:  3 ncall:6.2e+02 eff:21.7% logz=-1.94+/-0.10 dlogz:70.064>0.1]
137it [04:41,  3.48it/s, bound:0 nc:  2 ncall:6.3e+02 eff:21.9% logz=-1.92+/-0.10 dlogz:70.034>0.1]
141it [04:42,  3.57it/s, bound:0 nc:  2 ncall:6.3e+02 eff:22.3% logz=-1.87+/-0.10 dlogz:69.977>0.1]
144it [04:43,  3.43it/s, bound:0 nc:  2 ncall:6.4e+02 eff:22.6% logz=-1.84+/-0.10 dlogz:69.935>0.1]
145it [04:44,  2.68it/s, bound:0 nc:  4 ncall:6.4e+02 eff:22.6% logz=-1.83+/-0.10 dlogz:69.922>0.1]
149it [04:45,  3.37it/s, bound:0 nc:  2 ncall:6.5e+02 eff:23.1% logz=-1.78+/-0.09 dlogz:69.869>0.1]
152it [04:46,  3.19it/s, bound:0 nc:  5 ncall:6.5e+02 eff:23.3% logz=-1.75+/-0.09 dlogz:69.831>0.1]
154it [04:47,  2.73it/s, bound:0 nc:  1 ncall:6.6e+02 eff:23.5% logz=-1.73+/-0.09 dlogz:69.806>0.1]
159it [04:48,  3.25it/s, bound:0 nc:  3 ncall:6.6e+02 eff:24.0% logz=-1.69+/-0.09 dlogz:69.747>0.1]
160it [04:49,  2.58it/s, bound:0 nc:  3 ncall:6.7e+02 eff:24.0% logz=-1.68+/-0.09 dlogz:69.735>0.1]
163it [04:51,  2.65it/s, bound:0 nc:  4 ncall:6.7e+02 eff:24.3% logz=-1.65+/-0.09 dlogz:69.701>0.1]
167it [04:52,  3.00it/s, bound:0 nc:  1 ncall:6.8e+02 eff:24.7% logz=-1.62+/-0.09 dlogz:69.656>0.1]
172it [04:52,  3.73it/s, bound:0 nc:  2 ncall:6.8e+02 eff:25.2% logz=-1.58+/-0.09 dlogz:69.603>0.1]
175it [04:53,  3.60it/s, bound:0 nc:  1 ncall:6.9e+02 eff:25.5% logz=-1.55+/-0.09 dlogz:69.572>0.1]
177it [04:54,  3.11it/s, bound:0 nc:  1 ncall:6.9e+02 eff:25.6% logz=-1.54+/-0.09 dlogz:69.552>0.1]
180it [04:55,  3.08it/s, bound:0 nc:  1 ncall:7.0e+02 eff:25.9% logz=-1.52+/-0.09 dlogz:69.522>0.1]
184it [04:56,  3.43it/s, bound:0 nc:  2 ncall:7.0e+02 eff:26.2% logz=-1.49+/-0.09 dlogz:69.483>0.1]
186it [04:57,  3.11it/s, bound:0 nc:  1 ncall:7.1e+02 eff:26.3% logz=-1.48+/-0.09 dlogz:69.464>0.1]
190it [04:58,  3.44it/s, bound:0 nc:  1 ncall:7.1e+02 eff:26.7% logz=-1.45+/-0.08 dlogz:69.427>0.1]
193it [04:59,  3.34it/s, bound:0 nc:  3 ncall:7.2e+02 eff:27.0% logz=-1.43+/-0.08 dlogz:69.400>0.1]
198it [05:00,  4.14it/s, bound:0 nc:  1 ncall:7.2e+02 eff:27.5% logz=-1.40+/-0.08 dlogz:69.355>0.1]
200it [05:00,  4.06it/s, bound:0 nc:  1 ncall:7.3e+02 eff:27.5% logz=-1.39+/-0.08 dlogz:69.338>0.1]
201it [05:01,  3.19it/s, bound:0 nc:  5 ncall:7.3e+02 eff:27.5% logz=-1.38+/-0.08 dlogz:69.330>0.1]
202it [05:02,  2.45it/s, bound:0 nc:  5 ncall:7.4e+02 eff:27.4% logz=-1.37+/-0.08 dlogz:69.321>0.1]
206it [05:03,  2.94it/s, bound:0 nc:  2 ncall:7.4e+02 eff:27.8% logz=-1.35+/-0.08 dlogz:69.287>0.1]
209it [05:04,  3.14it/s, bound:0 nc:  3 ncall:7.5e+02 eff:28.0% logz=-1.33+/-0.08 dlogz:69.263>0.1]
212it [05:05,  3.36it/s, bound:0 nc:  2 ncall:7.5e+02 eff:28.2% logz=-1.32+/-0.08 dlogz:69.239>0.1]
214it [05:06,  3.00it/s, bound:0 nc:  1 ncall:7.6e+02 eff:28.3% logz=-1.31+/-0.08 dlogz:69.223>0.1]
218it [05:07,  3.58it/s, bound:0 nc:  3 ncall:7.6e+02 eff:28.6% logz=-1.28+/-0.08 dlogz:69.191>0.1]
221it [05:08,  3.19it/s, bound:0 nc:  2 ncall:7.7e+02 eff:28.8% logz=-1.27+/-0.08 dlogz:69.168>0.1]
224it [05:09,  2.98it/s, bound:0 nc:  3 ncall:7.7e+02 eff:29.0% logz=-1.25+/-0.08 dlogz:69.145>0.1]
226it [05:10,  2.62it/s, bound:0 nc:  1 ncall:7.8e+02 eff:29.1% logz=-1.24+/-0.08 dlogz:69.130>0.1]
228it [05:11,  2.44it/s, bound:0 nc:  3 ncall:7.8e+02 eff:29.1% logz=-1.23+/-0.08 dlogz:69.115>0.1]
231it [05:12,  2.58it/s, bound:0 nc:  1 ncall:7.9e+02 eff:29.4% logz=-1.22+/-0.08 dlogz:69.093>0.1]
234it [05:13,  2.66it/s, bound:0 nc:  1 ncall:7.9e+02 eff:29.6% logz=-1.20+/-0.08 dlogz:69.072>0.1]
239it [05:14,  3.41it/s, bound:0 nc:  4 ncall:8.0e+02 eff:29.9% logz=-1.18+/-0.08 dlogz:69.036>0.1]
240it [05:15,  2.67it/s, bound:0 nc:  3 ncall:8.0e+02 eff:29.9% logz=-1.18+/-0.08 dlogz:69.029>0.1]
243it [05:16,  2.90it/s, bound:0 nc:  3 ncall:8.1e+02 eff:30.1% logz=-1.16+/-0.08 dlogz:69.008>0.1]
246it [05:17,  3.06it/s, bound:0 nc:  1 ncall:8.1e+02 eff:30.3% logz=-1.15+/-0.08 dlogz:68.988>0.1]
249it [05:18,  3.08it/s, bound:0 nc:  1 ncall:8.2e+02 eff:30.5% logz=-1.14+/-0.08 dlogz:68.968>0.1]
252it [05:18,  3.24it/s, bound:0 nc:  4 ncall:8.2e+02 eff:30.6% logz=-1.13+/-0.07 dlogz:68.948>0.1]
