
0it [00:00, ?it/s]
1it [04:20, 260.38s/it, bound:0 nc:  9 ncall:4.1e+02 eff:0.2% logz=-854.72+/-0.18 dlogz:inf>0.1]
2it [04:20, 107.40s/it, bound:0 nc:  2 ncall:4.1e+02 eff:0.5% logz=-585.24+/-0.18 dlogz:909.603>0.1]
5it [04:20, 30.58s/it, bound:0 nc:  5 ncall:4.2e+02 eff:1.2% logz=-161.08+/-0.18 dlogz:433.143>0.1] 
6it [04:21, 22.88s/it, bound:0 nc:  3 ncall:4.2e+02 eff:1.4% logz=-158.21+/-0.18 dlogz:215.945>0.1]
8it [04:21, 13.31s/it, bound:0 nc:  2 ncall:4.3e+02 eff:1.9% logz=-136.30+/-0.18 dlogz:201.850>0.1]
10it [04:22,  8.50s/it, bound:0 nc: 14 ncall:4.4e+02 eff:2.3% logz=-119.09+/-0.18 dlogz:181.231>0.1]
11it [04:22,  6.77s/it, bound:0 nc:  2 ncall:4.5e+02 eff:2.5% logz=-112.99+/-0.18 dlogz:173.950>0.1]
12it [04:23,  5.27s/it, bound:0 nc:  7 ncall:4.5e+02 eff:2.6% logz=-106.44+/-0.18 dlogz:167.839>0.1]
13it [04:23,  4.06s/it, bound:0 nc:  7 ncall:4.6e+02 eff:2.8% logz=-104.05+/-0.17 dlogz:161.293>0.1]
14it [04:23,  3.09s/it, bound:0 nc:  5 ncall:4.6e+02 eff:3.0% logz=-98.56+/-0.18 dlogz:158.896>0.1] 
15it [04:24,  2.34s/it, bound:0 nc:  1 ncall:4.7e+02 eff:3.2% logz=-93.43+/-0.18 dlogz:153.404>0.1]
17it [04:24,  1.39s/it, bound:0 nc:  8 ncall:4.8e+02 eff:3.6% logz=-83.25+/-0.18 dlogz:143.192>0.1]
18it [04:25,  1.14s/it, bound:0 nc:  5 ncall:4.8e+02 eff:3.8% logz=-80.63+/-0.18 dlogz:138.083>0.1]
19it [04:25,  1.05it/s, bound:0 nc:  4 ncall:4.8e+02 eff:3.9% logz=-78.87+/-0.17 dlogz:135.466>0.1]
20it [04:25,  1.24it/s, bound:0 nc:  3 ncall:4.9e+02 eff:4.1% logz=-77.37+/-0.17 dlogz:133.707>0.1]
22it [04:26,  1.60it/s, bound:0 nc:  8 ncall:5.0e+02 eff:4.4% logz=-71.42+/-0.18 dlogz:131.111>0.1]
23it [04:27,  1.58it/s, bound:0 nc: 11 ncall:5.1e+02 eff:4.5% logz=-69.81+/-0.17 dlogz:126.246>0.1]
24it [04:27,  1.78it/s, bound:0 nc:  5 ncall:5.1e+02 eff:4.7% logz=-62.96+/-0.18 dlogz:124.631>0.1]
25it [04:27,  2.00it/s, bound:0 nc:  3 ncall:5.2e+02 eff:4.8% logz=-61.82+/-0.17 dlogz:117.778>0.1]
27it [04:28,  2.77it/s, bound:0 nc:  3 ncall:5.2e+02 eff:5.2% logz=-55.15+/-0.18 dlogz:114.573>0.1]
28it [04:28,  2.74it/s, bound:0 nc:  3 ncall:5.3e+02 eff:5.3% logz=-53.16+/-0.17 dlogz:109.962>0.1]
29it [04:29,  2.24it/s, bound:0 nc: 10 ncall:5.4e+02 eff:5.4% logz=-51.27+/-0.17 dlogz:107.968>0.1]
32it [04:29,  3.65it/s, bound:0 nc:  4 ncall:5.4e+02 eff:5.9% logz=-45.40+/-0.16 dlogz:100.859>0.1]
33it [04:30,  2.83it/s, bound:0 nc:  9 ncall:5.5e+02 eff:6.0% logz=-44.88+/-0.16 dlogz:100.198>0.1]
34it [04:31,  2.34it/s, bound:0 nc: 12 ncall:5.6e+02 eff:6.0% logz=-44.16+/-0.16 dlogz:99.676>0.1] 
35it [04:31,  2.13it/s, bound:0 nc: 10 ncall:5.8e+02 eff:6.1% logz=-43.45+/-0.15 dlogz:98.957>0.1]
36it [04:31,  2.32it/s, bound:0 nc:  5 ncall:5.8e+02 eff:6.2% logz=-42.52+/-0.16 dlogz:98.247>0.1]
37it [04:32,  2.05it/s, bound:0 nc:  8 ncall:5.9e+02 eff:6.3% logz=-41.82+/-0.16 dlogz:97.307>0.1]
38it [04:33,  1.85it/s, bound:0 nc: 11 ncall:6.0e+02 eff:6.3% logz=-41.23+/-0.15 dlogz:96.605>0.1]
39it [04:33,  2.10it/s, bound:0 nc:  3 ncall:6.0e+02 eff:6.5% logz=-40.61+/-0.15 dlogz:96.014>0.1]
41it [04:33,  2.92it/s, bound:0 nc:  3 ncall:6.1e+02 eff:6.8% logz=-39.01+/-0.16 dlogz:94.662>0.1]
42it [04:34,  2.92it/s, bound:0 nc:  7 ncall:6.1e+02 eff:6.9% logz=-38.35+/-0.15 dlogz:93.790>0.1]
44it [04:34,  3.59it/s, bound:0 nc:  1 ncall:6.2e+02 eff:7.1% logz=-37.29+/-0.15 dlogz:92.597>0.1]
45it [04:35,  2.74it/s, bound:0 nc: 14 ncall:6.3e+02 eff:7.1% logz=-36.68+/-0.15 dlogz:92.060>0.1]
46it [04:35,  2.74it/s, bound:0 nc:  3 ncall:6.3e+02 eff:7.3% logz=-35.99+/-0.15 dlogz:91.446>0.1]
47it [04:36,  2.82it/s, bound:0 nc:  3 ncall:6.4e+02 eff:7.4% logz=-35.29+/-0.15 dlogz:90.756>0.1]
49it [04:36,  3.64it/s, bound:0 nc:  5 ncall:6.4e+02 eff:7.6% logz=-32.11+/-0.16 dlogz:87.969>0.1]
50it [04:36,  3.39it/s, bound:0 nc:  1 ncall:6.5e+02 eff:7.7% logz=-31.47+/-0.16 dlogz:86.871>0.1]
54it [04:37,  5.74it/s, bound:0 nc:  4 ncall:6.5e+02 eff:8.3% logz=-27.98+/-0.16 dlogz:83.562>0.1]
55it [04:37,  4.81it/s, bound:0 nc:  6 ncall:6.6e+02 eff:8.3% logz=-26.38+/-0.17 dlogz:82.729>0.1]
56it [04:37,  4.27it/s, bound:0 nc:  5 ncall:6.6e+02 eff:8.4% logz=-25.26+/-0.16 dlogz:81.126>0.1]
58it [04:38,  4.75it/s, bound:0 nc:  1 ncall:6.7e+02 eff:8.7% logz=-23.87+/-0.16 dlogz:79.213>0.1]
60it [04:38,  5.10it/s, bound:0 nc:  2 ncall:6.7e+02 eff:8.9% logz=-23.02+/-0.15 dlogz:78.130>0.1]
61it [04:38,  4.38it/s, bound:0 nc:  5 ncall:6.8e+02 eff:9.0% logz=-22.52+/-0.15 dlogz:77.748>0.1]
62it [04:39,  3.97it/s, bound:0 nc:  8 ncall:6.8e+02 eff:9.1% logz=-21.95+/-0.15 dlogz:77.251>0.1]
