
0it [00:00, ?it/s]
1it [02:38, 158.38s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-301.48+/-0.18 dlogz:inf>0.1]
2it [02:38, 65.43s/it, bound:0 nc:  9 ncall:4.1e+02 eff:0.5% logz=-286.57+/-0.18 dlogz:362.418>0.1]
3it [02:39, 35.70s/it, bound:0 nc: 18 ncall:4.3e+02 eff:0.7% logz=-273.42+/-0.18 dlogz:347.502>0.1]
4it [02:39, 21.75s/it, bound:0 nc:  2 ncall:4.3e+02 eff:0.9% logz=-171.64+/-0.18 dlogz:334.345>0.1]
6it [02:39, 10.34s/it, bound:0 nc: 13 ncall:4.4e+02 eff:1.3% logz=-160.34+/-0.18 dlogz:224.589>0.1]
7it [02:40,  7.57s/it, bound:0 nc:  5 ncall:4.5e+02 eff:1.6% logz=-152.72+/-0.18 dlogz:221.264>0.1]
8it [02:40,  5.56s/it, bound:0 nc:  6 ncall:4.6e+02 eff:1.8% logz=-148.51+/-0.18 dlogz:213.635>0.1]
10it [02:40,  3.14s/it, bound:0 nc: 10 ncall:4.7e+02 eff:2.1% logz=-143.25+/-0.17 dlogz:206.633>0.1]
11it [02:41,  2.49s/it, bound:0 nc:  8 ncall:4.8e+02 eff:2.3% logz=-124.28+/-0.18 dlogz:204.161>0.1]
13it [02:41,  1.55s/it, bound:0 nc: 14 ncall:4.9e+02 eff:2.6% logz=-110.18+/-0.17 dlogz:173.460>0.1]
14it [02:42,  1.30s/it, bound:0 nc:  9 ncall:5.0e+02 eff:2.8% logz=-103.19+/-0.18 dlogz:171.087>0.1]
15it [02:42,  1.04s/it, bound:0 nc:  4 ncall:5.1e+02 eff:3.0% logz=-92.21+/-0.18 dlogz:164.095>0.1] 
16it [02:43,  1.06it/s, bound:0 nc: 38 ncall:5.4e+02 eff:2.9% logz=-90.31+/-0.17 dlogz:153.108>0.1]
17it [02:43,  1.20it/s, bound:0 nc: 18 ncall:5.6e+02 eff:3.0% logz=-89.38+/-0.16 dlogz:151.205>0.1]
