
0it [00:00, ?it/s]
1it [00:24, 24.87s/it, bound:0 nc:  3 ncall:4.0e+02 eff:0.2% logz=-4956.99+/-0.18 dlogz:inf>0.1]
4it [00:25,  4.74s/it, bound:0 nc:  1 ncall:4.1e+02 eff:1.0% logz=-371.42+/-0.18 dlogz:738.887>0.1]
8it [00:25,  1.89s/it, bound:0 nc:  3 ncall:4.2e+02 eff:1.9% logz=-229.63+/-0.18 dlogz:294.210>0.1]
11it [00:25,  1.16s/it, bound:0 nc:  2 ncall:4.2e+02 eff:2.6% logz=-177.74+/-0.18 dlogz:269.350>0.1]
14it [00:25,  1.32it/s, bound:0 nc:  4 ncall:4.4e+02 eff:3.2% logz=-147.99+/-0.18 dlogz:211.770>0.1]
19it [00:25,  2.39it/s, bound:0 nc:  2 ncall:4.4e+02 eff:4.3% logz=-127.77+/-0.18 dlogz:193.464>0.1]
27it [00:25,  4.75it/s, bound:0 nc:  1 ncall:4.6e+02 eff:5.9% logz=-96.99+/-0.17 dlogz:154.399>0.1] 
33it [00:25,  7.05it/s, bound:0 nc:  5 ncall:4.7e+02 eff:7.0% logz=-88.40+/-0.17 dlogz:146.552>0.1]
39it [00:25,  9.67it/s, bound:0 nc:  4 ncall:4.9e+02 eff:8.0% logz=-76.72+/-0.17 dlogz:134.643>0.1]
44it [00:26, 12.42it/s, bound:0 nc:  2 ncall:5.0e+02 eff:8.8% logz=-66.42+/-0.16 dlogz:123.715>0.1]
52it [00:26, 18.45it/s, bound:0 nc:  1 ncall:5.1e+02 eff:10.1% logz=-59.20+/-0.16 dlogz:115.895>0.1]
58it [00:26, 22.70it/s, bound:0 nc:  3 ncall:5.3e+02 eff:11.0% logz=-54.78+/-0.15 dlogz:111.547>0.1]
64it [00:26, 25.92it/s, bound:0 nc:  5 ncall:5.4e+02 eff:11.8% logz=-52.35+/-0.15 dlogz:108.764>0.1]
69it [00:26, 26.07it/s, bound:0 nc:  8 ncall:5.6e+02 eff:12.3% logz=-47.56+/-0.16 dlogz:104.530>0.1]
74it [00:26, 27.71it/s, bound:0 nc:  9 ncall:5.8e+02 eff:12.8% logz=-42.87+/-0.16 dlogz:99.952>0.1] 
78it [00:26, 28.84it/s, bound:0 nc:  1 ncall:5.9e+02 eff:13.2% logz=-38.75+/-0.16 dlogz:95.500>0.1]
82it [00:26, 30.60it/s, bound:0 nc:  2 ncall:6.0e+02 eff:13.6% logz=-37.02+/-0.15 dlogz:93.454>0.1]
89it [00:27, 35.05it/s, bound:0 nc:  7 ncall:6.2e+02 eff:14.4% logz=-34.84+/-0.14 dlogz:91.236>0.1]
96it [00:27, 38.06it/s, bound:0 nc:  5 ncall:6.3e+02 eff:15.2% logz=-30.90+/-0.15 dlogz:87.290>0.1]
101it [00:27, 38.34it/s, bound:0 nc:  2 ncall:6.4e+02 eff:15.7% logz=-28.40+/-0.15 dlogz:84.742>0.1]
110it [00:27, 48.54it/s, bound:0 nc:  2 ncall:6.5e+02 eff:16.8% logz=-24.91+/-0.15 dlogz:81.459>0.1]
117it [00:27, 49.75it/s, bound:0 nc:  4 ncall:6.7e+02 eff:17.4% logz=-22.66+/-0.14 dlogz:78.877>0.1]
