
0it [00:00, ?it/s]
1it [00:05,  5.75s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-10835.04+/-0.18 dlogz:inf>0.1]
4it [00:05,  1.12s/it, bound:0 nc:  5 ncall:4.4e+02 eff:0.9% logz=-2530.52+/-0.18 dlogz:3763.263>0.1]
15it [00:06,  4.48it/s, bound:0 nc:  6 ncall:4.8e+02 eff:3.1% logz=-608.72+/-0.18 dlogz:686.581>0.1] 
23it [00:06,  7.79it/s, bound:0 nc:  6 ncall:5.2e+02 eff:4.4% logz=-348.26+/-0.18 dlogz:451.133>0.1]
36it [00:06, 14.96it/s, bound:0 nc:  6 ncall:5.6e+02 eff:6.4% logz=-194.70+/-0.18 dlogz:259.375>0.1]
46it [00:06, 20.50it/s, bound:0 nc:  4 ncall:6.0e+02 eff:7.7% logz=-114.16+/-0.17 dlogz:168.754>0.1]
56it [00:06, 27.52it/s, bound:0 nc:  2 ncall:6.4e+02 eff:8.7% logz=-91.72+/-0.16 dlogz:146.019>0.1] 
65it [00:06, 34.64it/s, bound:0 nc:  1 ncall:6.8e+02 eff:9.5% logz=-46.36+/-0.18 dlogz:102.129>0.1]
77it [00:06, 45.53it/s, bound:0 nc:  3 ncall:7.2e+02 eff:10.7% logz=-25.61+/-0.18 dlogz:83.202>0.1]
86it [00:06, 49.99it/s, bound:0 nc:  9 ncall:7.7e+02 eff:11.2% logz=-15.24+/-0.16 dlogz:69.064>0.1]
94it [00:07, 50.65it/s, bound:0 nc: 14 ncall:8.1e+02 eff:11.7% logz=-12.17+/-0.14 dlogz:65.734>0.1]
102it [00:07, 51.56it/s, bound:0 nc:  4 ncall:8.4e+02 eff:12.1% logz=-9.68+/-0.14 dlogz:63.096>0.1]
112it [00:07, 59.29it/s, bound:0 nc: 19 ncall:8.9e+02 eff:12.6% logz=-7.92+/-0.14 dlogz:61.292>0.1]
120it [00:07, 59.75it/s, bound:0 nc:  3 ncall:9.4e+02 eff:12.8% logz=-6.81+/-0.13 dlogz:60.069>0.1]
128it [00:07, 58.31it/s, bound:0 nc:  5 ncall:9.6e+02 eff:13.3% logz=-6.00+/-0.13 dlogz:59.228>0.1]
135it [00:07, 50.44it/s, bound:0 nc:  3 ncall:1.0e+03 eff:13.3% logz=-4.76+/-0.13 dlogz:58.079>0.1]
141it [00:07, 43.62it/s, bound:0 nc:  2 ncall:1.0e+03 eff:13.4% logz=-3.95+/-0.13 dlogz:57.152>0.1]
149it [00:08, 48.85it/s, bound:0 nc:  3 ncall:1.1e+03 eff:13.8% logz=-3.41+/-0.12 dlogz:56.545>0.1]
159it [00:08, 55.12it/s, bound:0 nc:  7 ncall:1.1e+03 eff:14.2% logz=-2.91+/-0.12 dlogz:56.032>0.1]
165it [00:08, 52.48it/s, bound:0 nc:  3 ncall:1.2e+03 eff:14.1% logz=-2.27+/-0.12 dlogz:55.444>0.1]
173it [00:08, 54.81it/s, bound:0 nc: 16 ncall:1.2e+03 eff:14.3% logz=-1.39+/-0.12 dlogz:54.509>0.1]
179it [00:08, 47.53it/s, bound:0 nc:  1 ncall:1.2e+03 eff:14.4% logz=-0.72+/-0.13 dlogz:53.830>0.1]
187it [00:08, 48.57it/s, bound:0 nc:  5 ncall:1.3e+03 eff:14.6% logz=0.17+/-0.13 dlogz:52.915>0.1] 
195it [00:08, 52.17it/s, bound:0 nc:  6 ncall:1.3e+03 eff:14.7% logz=0.89+/-0.13 dlogz:52.175>0.1]
203it [00:09, 51.73it/s, bound:0 nc:  8 ncall:1.4e+03 eff:14.9% logz=1.66+/-0.13 dlogz:51.391>0.1]
210it [00:09, 53.53it/s, bound:0 nc:  8 ncall:1.4e+03 eff:15.1% logz=2.33+/-0.13 dlogz:50.699>0.1]
216it [00:09, 35.46it/s, bound:0 nc: 14 ncall:1.4e+03 eff:15.0% logz=3.04+/-0.13 dlogz:49.989>0.1]
221it [00:09, 36.34it/s, bound:0 nc:  2 ncall:1.5e+03 eff:15.1% logz=3.58+/-0.13 dlogz:49.422>0.1]
226it [00:09, 38.39it/s, bound:0 nc:  2 ncall:1.5e+03 eff:15.3% logz=4.06+/-0.13 dlogz:48.926>0.1]
231it [00:10, 32.48it/s, bound:0 nc: 30 ncall:1.5e+03 eff:15.0% logz=4.52+/-0.13 dlogz:48.463>0.1]
235it [00:10, 26.43it/s, bound:0 nc:  5 ncall:1.6e+03 eff:15.0% logz=5.02+/-0.13 dlogz:47.973>0.1]
239it [00:10, 25.30it/s, bound:0 nc:  9 ncall:1.6e+03 eff:14.9% logz=5.52+/-0.13 dlogz:47.456>0.1]
242it [00:10, 24.73it/s, bound:0 nc:  9 ncall:1.6e+03 eff:14.8% logz=5.81+/-0.13 dlogz:47.131>0.1]
247it [00:10, 25.97it/s, bound:0 nc:  7 ncall:1.7e+03 eff:14.9% logz=6.29+/-0.13 dlogz:46.647>0.1]
250it [00:10, 26.31it/s, bound:0 nc: 10 ncall:1.7e+03 eff:14.7% logz=6.56+/-0.13 dlogz:46.362>0.1]
259it [00:11, 34.49it/s, bound:0 nc: 10 ncall:1.8e+03 eff:14.8% logz=7.41+/-0.13 dlogz:45.507>0.1]
267it [00:11, 38.83it/s, bound:0 nc:  8 ncall:1.8e+03 eff:15.0% logz=8.36+/-0.13 dlogz:44.534>0.1]
273it [00:11, 42.88it/s, bound:0 nc: 23 ncall:1.8e+03 eff:14.9% logz=8.95+/-0.13 dlogz:43.932>0.1]
278it [00:11, 34.20it/s, bound:0 nc:  1 ncall:1.9e+03 eff:14.9% logz=9.44+/-0.13 dlogz:43.407>0.1]
282it [00:11, 31.08it/s, bound:0 nc:  9 ncall:1.9e+03 eff:14.8% logz=9.74+/-0.13 dlogz:43.082>0.1]
286it [00:11, 29.13it/s, bound:0 nc:  1 ncall:1.9e+03 eff:14.8% logz=10.03+/-0.13 dlogz:42.783>0.1]
290it [00:12, 24.98it/s, bound:0 nc:  2 ncall:2.0e+03 eff:14.7% logz=10.27+/-0.13 dlogz:42.518>0.1]
294it [00:12, 24.18it/s, bound:0 nc: 15 ncall:2.0e+03 eff:14.7% logz=10.55+/-0.13 dlogz:42.244>0.1]
299it [00:12, 27.26it/s, bound:0 nc: 19 ncall:2.1e+03 eff:14.5% logz=10.89+/-0.12 dlogz:41.882>0.1]
302it [00:12, 26.43it/s, bound:0 nc:  4 ncall:2.1e+03 eff:14.5% logz=11.07+/-0.12 dlogz:41.690>0.1]
305it [00:12, 26.93it/s, bound:0 nc:  2 ncall:2.1e+03 eff:14.6% logz=11.24+/-0.12 dlogz:44.873>0.1]
308it [00:12, 19.71it/s, bound:0 nc: 14 ncall:2.1e+03 eff:14.4% logz=11.41+/-0.12 dlogz:44.696>0.1]
311it [00:13, 20.94it/s, bound:0 nc:  1 ncall:2.2e+03 eff:14.4% logz=11.59+/-0.12 dlogz:44.513>0.1]
315it [00:13, 20.66it/s, bound:0 nc: 20 ncall:2.2e+03 eff:14.3% logz=11.84+/-0.12 dlogz:44.254>0.1]
322it [00:13, 26.95it/s, bound:0 nc:  2 ncall:2.2e+03 eff:14.4% logz=12.24+/-0.12 dlogz:43.829>0.1]
325it [00:13, 19.13it/s, bound:0 nc: 19 ncall:2.3e+03 eff:14.1% logz=12.40+/-0.12 dlogz:43.668>0.1]
333it [00:13, 25.79it/s, bound:0 nc:  2 ncall:2.3e+03 eff:14.2% logz=12.83+/-0.12 dlogz:43.214>0.1]
336it [00:14, 26.10it/s, bound:0 nc:  8 ncall:2.4e+03 eff:14.1% logz=12.98+/-0.12 dlogz:43.055>0.1]
340it [00:14, 24.34it/s, bound:0 nc: 14 ncall:2.4e+03 eff:14.1% logz=13.19+/-0.12 dlogz:42.832>0.1]
343it [00:14, 20.60it/s, bound:0 nc:  6 ncall:2.4e+03 eff:14.1% logz=13.37+/-0.12 dlogz:42.656>0.1]
346it [00:14, 18.86it/s, bound:0 nc:  2 ncall:2.5e+03 eff:14.1% logz=13.55+/-0.12 dlogz:42.470>0.1]
349it [00:15, 13.27it/s, bound:0 nc: 13 ncall:2.5e+03 eff:14.0% logz=13.75+/-0.12 dlogz:42.271>0.1]
351it [00:15, 11.30it/s, bound:0 nc:  7 ncall:2.5e+03 eff:14.0% logz=13.88+/-0.12 dlogz:42.126>0.1]
354it [00:15, 10.34it/s, bound:0 nc: 27 ncall:2.5e+03 eff:13.9% logz=14.07+/-0.12 dlogz:41.927>0.1]
357it [00:15, 10.39it/s, bound:0 nc: 20 ncall:2.6e+03 eff:13.8% logz=14.28+/-0.12 dlogz:43.742>0.1]
364it [00:16, 16.19it/s, bound:0 nc: 10 ncall:2.6e+03 eff:13.9% logz=14.75+/-0.12 dlogz:43.262>0.1]
366it [00:16, 16.25it/s, bound:0 nc: 10 ncall:2.6e+03 eff:13.9% logz=14.89+/-0.13 dlogz:43.111>0.1]
369it [00:16, 17.33it/s, bound:0 nc:  8 ncall:2.7e+03 eff:13.9% logz=15.09+/-0.13 dlogz:42.897>0.1]
372it [00:16, 19.27it/s, bound:0 nc:  7 ncall:2.7e+03 eff:13.8% logz=15.28+/-0.13 dlogz:42.699>0.1]
376it [00:16, 21.88it/s, bound:0 nc: 18 ncall:2.7e+03 eff:13.8% logz=15.51+/-0.13 dlogz:42.451>0.1]
379it [00:16, 19.93it/s, bound:0 nc:  2 ncall:2.7e+03 eff:13.8% logz=15.68+/-0.12 dlogz:42.278>0.1]
383it [00:16, 23.03it/s, bound:0 nc:  4 ncall:2.8e+03 eff:13.9% logz=15.89+/-0.12 dlogz:42.054>0.1]
387it [00:17, 26.01it/s, bound:0 nc:  8 ncall:2.8e+03 eff:13.9% logz=16.09+/-0.12 dlogz:41.842>0.1]
390it [00:17, 12.68it/s, bound:0 nc: 12 ncall:2.8e+03 eff:13.7% logz=16.22+/-0.12 dlogz:41.698>0.1]
393it [00:17, 12.97it/s, bound:0 nc: 14 ncall:2.9e+03 eff:13.7% logz=16.36+/-0.12 dlogz:41.557>0.1]
395it [00:18,  5.92it/s, bound:0 nc: 31 ncall:3.0e+03 eff:13.3% logz=16.45+/-0.12 dlogz:41.461>0.1]
397it [00:19,  6.48it/s, bound:0 nc: 35 ncall:3.0e+03 eff:13.1% logz=16.54+/-0.12 dlogz:41.367>0.1]
401it [00:19,  8.82it/s, bound:0 nc:  2 ncall:3.1e+03 eff:13.1% logz=16.72+/-0.12 dlogz:41.175>0.1]
403it [00:19,  9.73it/s, bound:0 nc:  6 ncall:3.1e+03 eff:13.1% logz=16.80+/-0.12 dlogz:41.081>0.1]
409it [00:19, 14.90it/s, bound:0 nc:  8 ncall:3.1e+03 eff:13.1% logz=17.09+/-0.12 dlogz:40.787>0.1]
412it [00:20, 11.33it/s, bound:0 nc: 17 ncall:3.2e+03 eff:13.0% logz=17.23+/-0.12 dlogz:40.638>0.1]
414it [00:20,  9.77it/s, bound:0 nc: 12 ncall:3.2e+03 eff:13.0% logz=17.31+/-0.12 dlogz:40.546>0.1]
417it [00:20, 10.90it/s, bound:0 nc: 22 ncall:3.2e+03 eff:13.0% logz=17.44+/-0.12 dlogz:40.408>0.1]
420it [00:20, 10.88it/s, bound:0 nc: 16 ncall:3.2e+03 eff:13.0% logz=17.58+/-0.12 dlogz:40.266>0.1]
422it [00:21, 11.09it/s, bound:0 nc:  8 ncall:3.2e+03 eff:13.0% logz=17.68+/-0.12 dlogz:40.166>0.1]
426it [00:21, 12.21it/s, bound:0 nc: 21 ncall:3.3e+03 eff:13.0% logz=17.92+/-0.12 dlogz:39.927>0.1]
430it [00:21, 14.99it/s, bound:0 nc: 20 ncall:3.3e+03 eff:13.0% logz=18.16+/-0.12 dlogz:39.673>0.1]
